id,year,state_name,state_code,district_name,district_code,registration_circles,rape,attempt_to_commit_rape,kidnapping_and_abduction,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_relatives,importation_of_girls_from_foreign,abetment_of_suicides_of_women,dowry_prohibition,indecent_representation_of_women,protection_of_women_from_domestic_violence,immoral_traffic_prevention,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,human_trafficking,un_natural_offences
37,2016,Arunachal Pradesh,12,Tawang,238,Tawang,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,Arunachal Pradesh,12,Tirap,239,Tirap,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,2016,Arunachal Pradesh,12,Namsai,678,Namsai,9,1,10,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40,2016,Arunachal Pradesh,12,Siang,679,Siang,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,2016,Assam,18,Kamrup Metro,618,B. I. E. O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,Assam,18,Barpeta,280,Barpeta,104,101,337,24,334,0,813,0,0,0,0,0,2,2,0,0,0,1,0
43,2016,Assam,18,Baksa,616,Baksa,25,4,163,1,87,2,67,0,0,10,0,0,0,1,0,0,0,1,0
44,2016,Assam,18,Bongaigaon,281,Bongaigaon,41,0,137,2,46,0,234,0,0,0,0,0,1,0,0,0,0,1,0
45,2016,Assam,18,Kamrup Metro,618,C. I. D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016,Assam,18,Cachar,282,Cachar,75,13,291,12,71,5,515,0,0,22,0,0,1,0,0,0,0,0,0
47,2016,Assam,18,Chirang,612,Chirang,19,3,76,0,23,0,65,0,0,0,0,0,0,0,0,0,0,0,0
48,2016,Assam,18,Darrang,283,Darrang,95,28,164,6,524,0,493,0,0,2,0,1,1,0,0,0,0,2,0
49,2016,Assam,18,Dhemaji,284,Dhemaji,47,8,106,1,91,1,111,0,0,0,0,0,1,0,0,0,0,1,0
50,2016,Assam,18,Dhubri,285,Dhubri,145,34,329,9,471,7,863,0,0,107,0,0,0,1,0,0,0,6,0
51,2016,Assam,18,Dibrugarh,286,Dibrugarh,59,5,182,3,41,0,247,0,0,25,0,0,0,0,0,0,0,1,0
52,2016,Assam,18,Kamrup Metro,618,G. R. P.,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0
53,2016,Assam,18,Goalpara,287,Goalpara,48,8,75,6,15,0,279,0,0,0,0,0,0,1,0,0,0,1,0
54,2016,Assam,18,Golaghat,288,Golaghat,47,6,198,6,54,0,315,0,0,0,0,0,17,0,0,0,0,0,0
55,2016,Assam,18,Kamrup Metro,618,Guwahati City,72,9,532,9,151,13,507,0,0,23,0,0,10,1,0,0,0,6,0
56,2016,Assam,18,Hailakandi,289,Hailakandi,88,5,92,0,26,3,264,0,0,0,0,0,1,0,0,0,0,0,0
57,2016,Assam,18,West Karbi Anglong,710,Hamren,8,0,22,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
58,2016,Assam,18,Jorhat,290,Jorhat,32,12,139,1,202,0,399,0,0,0,0,0,3,0,0,0,0,1,0
59,2016,Assam,18,Kamrup,291,Kamrup,88,0,192,7,96,0,292,0,0,0,0,0,2,0,0,0,0,2,0
60,2016,Assam,18,Karbi Anglong,292,Karbi Anglong,18,1,75,0,20,0,61,0,0,0,0,0,0,0,1,0,0,0,0
61,2016,Assam,18,Karimganj,293,Karimganj,47,0,112,10,77,1,275,0,0,12,0,1,0,0,0,0,0,0,0
62,2016,Assam,18,Kokrajhar,294,Kokrajhar,41,0,121,2,116,0,167,0,0,3,0,0,0,0,0,0,0,0,0
63,2016,Assam,18,Lakhimpur,295,Lakhimpur,68,0,238,4,23,0,343,0,0,3,0,0,0,0,0,0,0,1,0
